Company Name, Telephone, Fax, Email, Contact Person
A-POINT PROMOTION, (03) 9132 1916, (03) 9132 0609, project@a-pointpro.com, Ms Lau Mooi Khuan
A. D. INTERIOR CONCEPT SDN BHD, (03) 9287 3226, (03) 9287 3236, adic@adinterior.com.my, Mr Kam Kim Chuan
ABADI MERDEKA SDN BHD, (03) 2181 6941, (03) 2181 8941, reeasahamed1971@gmail.com, Contact: Mr M. H. Nafeel
ACE GREEN ENERGY SDN BHD, (0 3) 3291 2224, (0 3) 3290 4388, razak@greenoceancorp.com, Mr Mohd Yusri Bin Md Yusof
ACE MULTI-TRADE (M) SDN BHD, (0 3) 6186 6822, (0 3) 6186 6811, richardchang.ace@gmail.com, Mr Richard Chang
AD BIOMASS SDN BHD, (03) 7846 0698 / 7846 6698, (03) 7846 0898, lai_davco@hotmail.com, Mr Lai Kean Leong
ADWOOD RESOURCES SDN BHD, NaN, + 60 6 978 6886, adwoodexp@gmail.com, Mr Marcus
AES LOGISTICS SDN BHD, (0 3) 3165 7600, (0 3) 3165 7500, mandy@aeslog.com.my, Ms Mandy Ang
AIKBEE SAWMILL SDN BHD, + 60 9 231 1118, + 60 9 231 1133, kepongmill@gmail.com, Mr Lim Chong Kee
AIM STRONG INDUSTRIES SDN BHD, + 60 4 438 0066, + 60 4 438 0099, szeyan77@gmail.com, Mr. Lim [H/P No: +60 (016) 206 0909]
AIREGOLD SDN BHD, + 60 6 985 9233| 12 604 9633 - OFFICE MOBILE, + 60 6 985 9232, jasmine@airegold.com, Mr Lim Su Kim
AJMAL INTERNATIONAL SDN BHD, + 60 3 2144 1533| 2081 3999, + 60 3 2144 3633, ajmal.pavilion@ajmalmalaysia.com, Mr Abdulla Amiruddin Ajmal
AL-BOURAQ TIMBER SDN BHD, + 60 (03) 2114 2636, + 60 (03) 2114 2636, operation@albouraqtimber.com, En Syed Abdul Hamid Bin Syed Osman
ALAM MAJUJAYA SDN BHD, (03) 7983 4037, (03) 7983 4027, vivienchan18@yahoo.com.my, Mr Chong Thai Ron
ALAM RA’I SDN BHD, + 60 3 6142 4803, + 60 3 6142 4804, sales@alamrai.com, Mr Asif Akhtar Siddiqui [H/P No: +60 (019) 312 9905]
ALCA VSTYLE SDN BHD, NaN, (0 3) 6141 4172, logistics@alca.com.my, Ms Yap Aik Soon
ALIKSON ENTERPRISE SDN BHD, + 60 (07) 776 3378, + 60 (07) 776 7378, huiping@alikson.com, Mr Tee Kian San
ALMOHIT TRADING SDN BHD, NaN, NaN, info@m-arabi.com, Mr Mahmood Mohamed Saleh
ALPHAZONE HOLDINGS SDN BHD, + 60 (0 3) 2276 5838, + 60 (0 3) 2276 5837, sadik@alphazone.com.my, Mr Sadik Raja
AND ONE SDN BHD, (0 10) 883 1951, (0 7) 434 8475, andonesb@gmx.xo.uk, Mr Goh Kok Siong
ANEKA KUALITI SDN BHD, (019) 986 2571, NaN, yploo12@yahoo.com, Mr Loo Yon Pin
ANGRED MARKETING AND SERVICES SDN BHD, (03) 7865 2734 / (0 12) 920 5506, NaN, alfred@angred.com, Mr Alfred A/L Anthonysamy
ANSON TIMBER PRODUCTS SDN BHD, + 60 5 621 0253, + 60 5 621 0257, sales@ansontimber.com, Mr Eric Tan : H/P [+60 (019) - 5564 439]
ANTAMEGAH SDN BHD, (03) 3101 3039, (03) 3101 4919, vivian@antamegah.com, Ms Lim Sze Yuen
APEXJAYA INDUSTRIES SDN BHD, (0 3) 5631 8510, (0 3) 5631 8595, apexjaya@yahoo.com, Mr Wong Thim Fatt
APP TIMBER SDN BHD, + 60 3 7847 4716| 7847 4761, + 60 3 7843 9240| 7843 9235, info@apptimber.com, Mr Michael Hermens
ARAH ASIA SDN BHD, + 60 9 355 2988| 355 7833, + 60 9 355 3957, arahasia@streamyx.com, Mr Chan SP
ARAMIJAYA SDN BHD, + 60 7 251 2881| 256 3381| 255 1882, + 60 7 256 1882| 255 5882, enquiry@aramijaya.com, Mr Ong Kok Woo
ARCHWORTH CORPORATION (M) SDN BHD, + 60 3 3345 2196, + 60 3 3344 4087, archworth@gmail.com, Mr Allen Chan
ARMADA SHIPPING & LOGISTICS (M) SDN BHD, + 60 3 3326 8888, + 60 3 3324 8185| 3324 7648, js@armadagroup.com.my, Mr Chang Jui Sin
ASIA GATE SDN BHD, (03) 2110 6808, NaN, info@asiagate-m.com, Mr Ammar M Muhsin Al-Ameri
ASIA PLANTATION CAPITAL BERHAD, + 60 (07) 207 0676, + 60 (07) 207 0476, info@asiaplantationcapital.com, Mr Steve Watts
ASIA TIMBER HOUSE SDN BHD, + 60 3 7845 0562| 7485 2183| 7485 2283, + 60 3 7845 3942, cath_loh@ath.com.my, Mr Eddie Chuah [H/P No: +60 (016) 328 5678]
ASIAN TERRITORY SDN BHD, + 60 (06) 492 0288 / 492 0081, + 60 (06) 492 0080, asianterritory@yahoo.com, Mr Lee Sun Heng
ASIAWOOD LUMBERS SDN BHD, (0 3) 3168 9198, (0 3) 3167 9825, info@asiawoodlumbers.com, Mr Lai Too Huat
ASIAWOOD PRODUCT MARKETING SDN BHD, (0 6) 523 6367, (0 6) 523 6367, ngoichingyeh@yahoo.com.sg, Mr Ngoi Ching Yeh
ASMA WOOD (M) SDN BHD, + 60 3 4024 7101, + 60 3 4023 9786, asmawood@gmail.com, Mr Musaddique A. Majeed [H/P No: +60 (012) 6515 616]
ATLAS TIMBER (EXPORT) AGENCIES SDN BHD, + 60 12 333 3488, + 60 3 2288 8228, atlastimberexport@yahoo.com, Mr Albert Low
AURORA HAUS SDN BHD, NaN, (0 3) 6140 1659, aurorahaus@yahoo.com, Ms Go Chee Yuen
AUTO PAN TIMBER INDUSTRIES SDN BHD, + 60 012 238 6521, + 60 (03) 3291 6521, ho3chin@gmail.com, Mr Ho Kheng Keong
AUTOMATION CONCEPTS (M) SDN BHD, NaN, NaN, kglee_acmsb@yahoo.com, Mr Lai  Chew Kuang
AV FURNITURE GROUP SDN BHD, (03) 3162 5655, (03) 3168 6613, emily@avfurnituregroup.com, Mr Tay Kian Shing
AWAN PACKAGING SDN BHD, (0 4) 501 5151, (0 4) 501 5152, leelp@awanpack.com, Mr Azman Bin Mohamed
AYUGA AGARWOOD HITEC PLANTATION SDN BHD, (0 3) 7956 3232, (0 3) 7956 2030, ayuga_agarwood@yahoo.com, Mr Cheah Min Loong
B & P TIMBER SDN BHD, NaN, NaN, bnptimber@gmail.com, Mr Lim Chee Boon
BAN HUAT WOOD INDUSTRIES SDN BHD, + 60 4 777 3317 / 777 3318, + 60 4 777 3316, banhuatw@gmail.com, Mr Ooi Kim Seah
BARA OMNI SDN BHD, (0 9) 239 9358, (0 9) 239 9902, cheehow529@yahoo.com, Mr Thong Wah
BASIC HITECH FURNITURE SDN BHD, (0 3) 6203 5564, NaN, basichitechfurniture@gmail.com, Mr Derrick Rohan Jeshurun
BBB ASIA CAPITAL BERHAD, (0 3) 7773 1836, NaN, contact@bbb2u.com, Mr Yap Nee Seng
BE WOOD CRAFT SDN BHD, + 60 7 759 5811, + 60 7 759 5812| 759 5859, chkuek@begroup.com.my, Mr Kuek Choon Heng
BED & SEAT FURNITURE SDN BHD, (0 6) 985 0554, (0 6) 985 0554, bed-seatfur@hotmail.com, Mr Ngo Sen Loke
BEDTWOBED DISTRIBUTION SDN BHD, (03) 7847 3882, (03) 7847 1328, info@expressfurniture.com.my, Mr Lim Seng Twee
BENLI TIMBER SDN BHD, NaN, NaN, benlitimber@gmail.com, Mr Benny Tan
BERIS TIMBER TRADING, (019) 369 1412, (09) 695 1021, sinling889@hotmail.com, Ms Loh Sin Ling
BESARAYA RUBBERWOOD INDUSTRIES SDN BHD, (0 11) 3954 2855 / (0 16) 482 5866, + 60 5 6722229, besaraya@gmail.com, Mr Yu Kheng Lai
BEST MATRIX SDN BHD, NaN, (09) 512 4498, bestmatrix.sb@gmail.com, Ms Leong Chui Feng
BEST MAXIM SDN BHD, (0 88) 255 905 / 231 143, (0 88) 255 907, lengleng1963@hotmail.com, Mr Chew Beng Huat
BEST TIMBER MART SDN BHD, + 60 3 4108 5585| 12 206 3585, + 60 (03) 4108 5585, bestim786@gmail.com, Mr A. Krishnan [H/P No: +60 (019) 223 0949]
BESTARI WUJUD SDN BHD, (0 3) 7726 5513, (0 3) 7726 5517, ismailamirah@gmail.com, En Mohamed Ismail
BESTWIN RESOURCES SDN BHD, + 60 9 960 7550 | 7 937 0610, + 60 (09) 960 7550 | (07) 937 0618, kangsai9331@yahoo.com, Mr Tan Kang Sai
BEYOND POWER SDN BHD, + 60 6 498 5830| 12 681 7123, + 60 6 498 5829, beyondpower68@yahoo.com, Mr Law Wee Teck
BIG BOB TRADING (M) SDN BHD, (0 3) 2785 6917, (0 3) 2785 6900, info@bigbobgroup.com, Mr Gana Shekar S L Kunasakaran
BIG ONE TIMBER MOULDING (M) SDN BHD, (05) 365 6766, (05) 366 2666, info@bigonemoulding.com, Mr Chai Seong Choong
BIO ENECO SDN BHD, NaN, (0 3) 9054 8138, admin@bioeneco.com, Ms Ching Wenn
BIO GREEN TECHNOLOGY SDN BHD, NaN, + 60 3 2178 4138, info.biogreentech@gmail.com, Ms Jessica Law: [H/P No: +60 (017) 711 8236]
BLOSSOM DELIGHTS SDN BHD, + 60 (03) 3165 3500, + 60 (03) 3165 3500, blossomdelightsb@yahoo.com, Mr Yap King Soon
BLUE ROOTS SDN BHD, + 60 3 3359 5678, + 60 3 3348 4567, allenlim@bluerootstimber.com, Mr Allen Lim Lai Wah
BLUE STAR SAWMILL SDN BHD, (0 9) 231 1898, (0 18) 342 0268, eatimberexport@gmail.com, Mr Lim Kian Loong
BOON HOCK SAWMILL SDN BHD, + 60 5 807 3767 / 807 2403, + 60 5 807 8137, boonhocksawmill@gmail.com, Mr Ng Eow Siah
BORTIM EXPORT SDN BHD, + 60 3 7492 1177| 19 225 4939, + 60 3 7492 2277| 7492 2772, office@bortimex.com.my, Mr Lee Leh Yew  [H/P No: +60 (019) 225 4939]
BOUNTY MILLIONS SDN BHD, + 60 3 3292 527, + 60 3 3292 153, leoboonloong@gmail.com, Mr Leo Boon Loong
BUMI KASTURI SDN BHD, (09) 277 1876, (09) 277 1876, bumikasturi@hotmail.com, Mr Yong Meow Hun
BVRIO LIMITED, (0 55) 21 3596 4006, NaN, timber@bvrio.org, Mr Bruno Maier (bruno.maier@bvrio.org)
BW SIM HUAT TIMBER SDN BHD, + 60 4 582 8051, + 60 4 582 1175, admin@simhuat.com.my, Mr Teoh Swee Hean
CABANG METRO SDN BHD, (09) 912 0961, (09) 912 0960, cabangmetrosb@hotmail.com, Mr Bong Kim Fah
CARL RONNOW (MALAYSIA) SDN BHD, + 60 88 483 888, + 60 88 483 801, info@carlronnow.com.my, Mr Anders Moller
CARL RONNOW LOGISTICS SDN BHD, (0 88) 483 888, (0 88) 483 801, jl@carlronnow.com.my, Mr Wong Wie Sing
CBL MARKETING (M) SDN BHD, + 60 (04) 501 4554, + 60 (04) 501 4551, irene@cbldoor.com.my, Mr Eng Cheng Kee
